"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2018","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2019","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2020","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2021","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2011","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","625","","","","0"
"2012","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","647","","","","0"
"2013","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","656","","","","0"
"2014","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","663","","","","0"
"2015","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","688","","","","0"
"2016","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","705","","","","0"
"2017","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","719","","","","0"
