"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","515","","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135529","192.3.2","","F","","","0"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","561","","","","0"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","563","","","","0"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","603","","","","0"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","659","","","","0"
